compound_form,compound_form_normalized,PhoneticVersion_Compound,reading_status,reading_source,nested_in_forms,component_reading_inferred
|A.MUŠ|,A.MUŠ,šeₓ,ATTESTED_DIRECT,OSL,,'u4-imdudu
|A.MUŠ₃.A.DI|,A.MUŠ3.A.DI,amagiₓ,ATTESTED_DIRECT,OSL,,'u4-ennin-'u4-de
|A.MUŠ₃.DI|,A.MUŠ3.DI,amagea|amagi₂|halba₆|halbi₆|halbu₆|mabi₂|mammi₂|se₂₆|sed₅|sedi₅|še₁₈|šed₁₁,ATTESTED_DIRECT,OSL,,'u4-ennin-de
|A.MUŠ₃@g.DI|,A.MUŠ3@g.DI,,NESTED_IN_LONGER_FORM,,ZA.MUŠ3@g.DI,'u4-muš2-de
|A.MUŠ₃@g|,A.MUŠ3@g,šed₉,ATTESTED_DIRECT,OSL,,'u4-muš2
|A.MUŠ₃|,A.MUŠ3,se₂₄|sed₃|sedi₃|še₁₂|šed₉,ATTESTED_DIRECT,OSL,,'u4-ennin
|A.MUŠ₃×A.DI|,A.MUŠ3×A.DI,amagiₓ|halbaₓ|halbiₓ|mabiₓ|mammiₓ|šeₓ,ATTESTED_DIRECT,OSL,,'u4-muš3×a-de
|A.PA.BI.GIŠ.PAD.SI.A.GA|,A.PA.BI.GIŠ.PAD.SI.A.GA,,NO_ATTESTED_READING,,,'u4-addirx(pa)-be2-es-bad2-hux(si)-'u4-ebir4
|A.PA.BI.GIŠ.PAD.SI.A|,A.PA.BI.GIŠ.PAD.SI.A,addir,ATTESTED_DIRECT,DIRI,,'u4-addirx(pa)-be2-es-bad2-hux(si)-'u4
|A.PA.BI.GIŠ.PAD|,A.PA.BI.GIŠ.PAD,,NO_ATTESTED_READING,,,'u4-addirx(pa)-be2-es-bad2
|A.PA.BI.SI.A.GA|,A.PA.BI.SI.A.GA,samanₓ,ATTESTED_DIRECT,OSL,,'u4-addirx(pa)-be2-hux(si)-'u4-ebir4
|A.PA.GISAL|,A.PA.GISAL,,NESTED_IN_LONGER_FORM,,A.PA.GISAL.PAD.SI.A,'u4-addirx(pa)-gisal
|A.PA.NE.PAD.SI.A|,A.PA.NE.PAD.SI.A,,NO_ATTESTED_READING,,,'u4-addirx(pa)-bar7-bad2-hux(si)-'u4
|A.SAG|,A.SAG,muhₓ|ugu₃,ATTESTED_DIRECT,OSL,,'u4-dul7
|A.SA|,A.SA,A.SA,ATTESTED_DIRECT,SYLLABARY_CM,,'u4-gid3
|A.SIG|,A.SIG,epigₓ,ATTESTED_DIRECT,OSL,,'u4-big
|A.SI|,A.SI,,NESTED_IN_LONGER_FORM,,A.TU.GABA.SIG.GAR; GAR.ŠUŠANA.SILA3; LAK589.A.SI,'u4-hux(si)
|A.TAR.A.AN|,A.TAR.A.AN,ebla,ATTESTED_DIRECT,OSL,,'u4-dar6-'u4-/dimer/
|A.TAR|,A.TAR,,NESTED_IN_LONGER_FORM,,A.HA.TAR.KAK; A.TAR.A.AN; LAGAB×A.TAR,'u4-dar6
|A.TU.A.TU.GABA.LIŠ|,A.TU.A.TU.GABA.LIŠ,,NO_ATTESTED_READING,,,'u4-du2-'u4-du2-du8-del₂
|A.TU.GABA.LIŠ.GAR|,A.TU.GABA.LIŠ.GAR,,NO_ATTESTED_READING,,,'u4-du2-du8-del₂-ga4
|A.TU.GABA.SIG.GAR|,A.TU.GABA.SIG.GAR,A.TU.GABA.SIG.GAR|ASALX(|A.TU.GABA.SIG.GAR|)|asalx(|A.TU.GABA.SIG.GAR|),ATTESTED_DIRECT,SYLLABARY_CM,,'u4-du2-du8-big-ga4
|A.TU.GABA|,A.TU.GABA,A.TU.GABA|ASALX(|A.TU.GABA|)|asalx(|A.TU.GABA|),ATTESTED_DIRECT,SYLLABARY_CM,,'u4-du2-du8
|A.TU.NUN&NUN.GABA.LIŠ|,A.TU.NUN&NUN.GABA.LIŠ,,NO_ATTESTED_READING,,,'u4-du2-lurₓ-du8-del₂
|A.TU.NUN&NUN.LIŠ|,A.TU.NUN&NUN.LIŠ,,NO_ATTESTED_READING,,,'u4-du2-lurₓ-del₂
|A.TU.NUN&NUN|,A.TU.NUN&NUN,asal₃,ATTESTED_DIRECT,OSL,,'u4-du2-lurₓ
|A.TUR|,A.TUR,edamu,ATTESTED_DIRECT,OSL,,'u4-ban3
|A.TU|,A.TU,A.TU|ASALX(|A.TU|)|asalx(|A.TU|),ATTESTED_DIRECT,SYLLABARY_CM,,'u4-du2
|A.U.EDIN.LAL|,A.U.EDIN.LAL,ummuₓ|ummudₓ,ATTESTED_DIRECT,OSL,,'u4-1u-bilx(edin)-la2
|A.U.KA|,A.U.KA,uguₓ,ATTESTED_DIRECT,OSL,,'u4-1u-/eneĝ/
|A.ZA.MUŠ₃@g|,A.ZA.MUŠ3@g,aškudₓ,ATTESTED_DIRECT,OSL,,'u4-sa3-muš2
|A.ZI&ZI.A|,A.ZI&ZI.A,,NO_ATTESTED_READING,,,
|A.ZI&ZI.EŠ₂|,A.ZI&ZI.EŠ2,,NO_ATTESTED_READING,,,
|A.ZI&ZI.LAGAB|,A.ZI&ZI.LAGAB,aškiₓ,ATTESTED_DIRECT,OSL,,
|A.ZU|,A.ZU,aktumₓ,ATTESTED_DIRECT,OSL,,'u4-ka14
|A.ZU₅|,A.ZU5,azuₓ,ATTESTED_DIRECT,OSL,,'u4-zu5
|A.ŠE.NUN&NUN|,A.ŠE.NUN&NUN,asi|eša|eše₄,ATTESTED_DIRECT,OSL,,'u4-dir4
|A.ŠU.NAGA|,A.ŠU.NAGA,tu₁₇,ATTESTED_DIRECT,OSL,,'u4-kat7-ereš2
|A.ŠU₂.U₂.NAGA|,A.ŠU2.U2.NAGA,šeg₄,ATTESTED_DIRECT,DIRI,,'u4-ešša2-ba6-ereš2
|AB.HA.ZAG.GABA.HU|,AB.HA.ZAG.GABA.HU,essadu|ešsadu,ATTESTED_DIRECT,OSL,,ab-'a4-bute-du8-'u5
|AB.HA@g|,AB.HA@g,girabaₓ,ATTESTED_DIRECT,OSL,,ab-bis2
|AB.KID&KID|,AB.KID&KID,,NO_ATTESTED_READING,,,
|AB.KID.KID|,AB.KID.KID,akkilₓ,ATTESTED_DIRECT,OSL,,ab-buru6-buru6
|AB.KID|,AB.KID,akkilₓ,ATTESTED_DIRECT,OSL,,ab-buru6
|AB.MUŠ₃|,AB.MUŠ3,sugal₆|zabala₆|zabalam₆,ATTESTED_DIRECT,OSL,,ab-ennin
|AB.NAM|,AB.NAM,absin₂,ATTESTED_DIRECT,OSL,,ab-bir5
|AB.TE|,AB.TE,,NO_ATTESTED_READING,,,ab-de4
|AB.ŠEŠ|,AB.ŠEŠ,,NO_ATTESTED_READING,,,ab-ah2
|AB@g.MUŠ₃.ZA|,AB@g.MUŠ3.ZA,zabalaₓ,ATTESTED_DIRECT,OSL,,ab4-ennin-sa3
|AB@g.MUŠ₃|,AB@g.MUŠ3,zabalaₓ,ATTESTED_DIRECT,OSL,,ab4-ennin
|AB×(U.U.U).KU₃.LAM.SAL|,AB×(U.U.U).KU3.LAM.SAL,,NO_ATTESTED_READING,,,ab×u+u+u-ku3-ešx(lam)-f
|AB×A|,AB×A,AB×A,ATTESTED_DIRECT,SYLLABARY_CM,,ab-'u4
|AB×DIŠ|,AB×DIŠ,,NO_ATTESTED_READING,,,ab-anₓ
|AB×HA.TAG|,AB×HA.TAG,siraraₓ,ATTESTED_DIRECT,OSL,,ab×ha-da6
|AB×KI|,AB×KI,,NESTED_IN_LONGER_FORM,,LAGAB×KIN; LAGAB×KI,ab-ammax(ki)
|AB×MAŠ|,AB×MAŠ,,NO_ATTESTED_READING,,,ab-ba7
|AB×NUN@t|,AB×NUN@t,,NO_ATTESTED_READING,,,ab-agargara
|AB×TAK₄|,AB×TAK4,,NESTED_IN_LONGER_FORM,,LAGAB×TAK4,ab-azad2
|AB×U|,AB×U,mahₓ|iriₓ,ATTESTED_DIRECT,OSL,,ab-1u
|AB₂.AN.ŠEŠ.KI|,AB2.AN.ŠEŠ.KI,munzerₓ,ATTESTED_DIRECT,OSL,,ab2-/dimer/-ah2-ammax(ki)
|AB₂.LAGAB×U|,AB2.LAGAB×U,unudₓ,ATTESTED_DIRECT,OSL,,ab2-bu4
|AB₂.LU|,AB2.LU,udul₁₀|utul₁₀,ATTESTED_DIRECT,OSL,,ab2-eze
|AB₂.NUN.ME.DU|,AB2.NUN.ME.DU,{+ab₂}abrig|abrig₂,ATTESTED_DIRECT,OSL,,ab2-...ri-ba13-aragub
|AB₂.NUN.ME|,AB2.NUN.ME,abrig₂,ATTESTED_DIRECT,OSL,,ab2-...ri-ba13
|AB₂.TAK₄|,AB2.TAK4,,NO_ATTESTED_READING,,,ab2-azad2
|AB₂.TUG₂|,AB2.TUG2,sumunₓ,ATTESTED_DIRECT,OSL,,ab2-azalag2
|AB₂.ŠA₃.GI|,AB2.ŠA3.GI,zeₓ,ATTESTED_DIRECT,OSL,,ab2-didala-ešša3
|AB₂×AMAR@t|,AB2×AMAR@t,,NO_ATTESTED_READING,,,ab2-amar
|AB₂×DUB₂|,AB2×DUB2,AB2×DUB2,ATTESTED_DIRECT,SYLLABARY_CM,,ab2-dim5
|AB₂×GAN₂|,AB2×GAN2,lilisₓ,ATTESTED_DIRECT,OSL,,ab2-al3
|AB₂×GUD|,AB2×GUD,,NESTED_IN_LONGER_FORM,,NUNUZ.AB2×GUD,ab2-alap
|AB₂×KU|,AB2×KU,unudₓ,ATTESTED_DIRECT,OSL,,ab2-be5
|AB₂×MU|,AB2×MU,,NO_ATTESTED_READING,,,ab2-gu10
|AB₂×TAB|,AB2×TAB,,NO_ATTESTED_READING,,,ab2-dab2
|AB₂×TAK₄|,AB2×TAK4,girₓ|kirₓ|libišₓ|šagₓ|šem₆|ub₅|uba₅,ATTESTED_DIRECT,OSL,,ab2-azad2
|AB₂×ŠE|,AB2×ŠE,,NO_ATTESTED_READING,,,ab2-ašnan2
|AD.E₂|,AD.E2,ad-kidₓ|akkilₓ,ATTESTED_DIRECT,OSL,,ab3-'a3
|AD.KID.KID|,AD.KID.KID,akkilₓ,ATTESTED_DIRECT,OSL,,ab3-buru6-buru6
|AD.KU|,AD.KU,akkilₓ,ATTESTED_DIRECT,OSL,,ab3-be5
|AL.PA|,AL.PA,,NESTED_IN_LONGER_FORM,,A.PA.GISAL.PAD.SI.A; GISAL.PAD.SI.A,al-addirx(pa)
|AL.ŠE|,AL.ŠE,ilₓ,ATTESTED_DIRECT,OSL,,al-ašnan2
|ALAN&ALAN|,ALAN&ALAN,alamₓ,ATTESTED_DIRECT,OSL,,al2-al2
|ALAN×GAN₂@t|,ALAN×GAN2@t,,NO_ATTESTED_READING,,,al2-gan2@t
|AL×TUG₂|,AL×TUG2,dubal₇,ATTESTED_DIRECT,OSL,,al-azalag2
|AMAR&AMAR|,AMAR&AMAR,,NESTED_IN_LONGER_FORM,,|AMAR&AMAR|,amar-amar
|AMAR.DA|,AMAR.DA,marad₂,ATTESTED_DIRECT,OSL,,amar-ax(da)
|AMAR.ERIN₂|,AMAR.ERIN2,,NO_ATTESTED_READING,,,amar-bir3
|AMAR.GIŠ|,AMAR.GIŠ,,NO_ATTESTED_READING,,,amar-es
|AMAR×PAP|,AMAR×PAP,amar|mar₂|zur,ATTESTED_DIRECT,OSL,,amar-aha3
|AMAR×ŠE.AMAR×ŠE|,AMAR×ŠE.AMAR×ŠE,siskur₂|siškur₂|sizkur₂|tiškurₓ,ATTESTED_DIRECT,OSL,,amar×še-amar×še
|AN&AŠ&AN|,AN&AŠ&AN,,NO_ATTESTED_READING,,,/dimer/-1aš-/dimer/
|AN.3×AN|,AN.3×AN,šuhubₓ,ATTESTED_DIRECT,OSL,,/dimer/-anx3
|AN.A.LAGAB×HAL|,AN.A.LAGAB×HAL,ita₄|iti₄|itu₄,ATTESTED_DIRECT,OSL,,/dimer/-'u4-angur
|AN.AB×HA|,AN.AB×HA,niŋenₓ,ATTESTED_DIRECT,OSL,,/dimer/-ab×ha
|AN.AN.AN|,AN.AN.AN,,NO_ATTESTED_READING,,,/dimer/-/dimer/-/dimer/
|AN.AN.AŠ|,AN.AN.AŠ,tillaₓ,ATTESTED_DIRECT,OSL,,/dimer/-/dimer/-1aš
|AN.AN|,AN.AN,tillaₓ,ATTESTED_DIRECT,OSL,,/dimer/-/dimer/
|AN.AŠ.A.AN|,AN.AŠ.A.AN,tilla₄?,ATTESTED_DIRECT,OSL,,/dimer/-1aš-'u4-/dimer/
|AN.AŠ@z.AN|,AN.AŠ@z.AN,tilla₅,ATTESTED_DIRECT,OSL,,/dimer/-1(aš@t)-/dimer/
|AN.BARA₂|,AN.BARA2,kunigara,ATTESTED_DIRECT,OSL,,/dimer/-bar2
|AN.DIŠ.AN|,AN.DIŠ.AN,tilla₃?,ATTESTED_DIRECT,OSL,,/dimer/-anₓ-/dimer/
|AN.DU.AN|,AN.DU.AN,aššan,ATTESTED_DIRECT,OSL,,/dimer/-aragub-/dimer/
|AN.DUGUD|,AN.DUGUD,,NO_ATTESTED_READING,,,/dimer/-dugud
|AN.EN.NU.NUNUZ.NAM.AN.ŠEŠ.KI|,AN.EN.NU.NUNUZ.NAM.AN.ŠEŠ.KI,zirruₓ,ATTESTED_DIRECT,OSL,,/dimer/-adx(en)-la3-nunu-bir5-/dimer/-ah2-ammax(ki)
|AN.EN.NU.NUNUZ.ZI.AN.ŠEŠ.KI|,AN.EN.NU.NUNUZ.ZI.AN.ŠEŠ.KI,zirruₓ,ATTESTED_DIRECT,OSL,,/dimer/-adx(en)-la3-nunu-se2-/dimer/-ah2-ammax(ki)
|AN.GUD|,AN.GUD,nirahₓ,ATTESTED_DIRECT,OSL,,/dimer/-alap
|AN.GU×KAK|,AN.GU×KAK,ušanₓ,ATTESTED_DIRECT,OSL,,
|AN.GU₂×KAK|,AN.GU2×KAK,usanₓ,ATTESTED_DIRECT,OSL,,/dimer/-dur
|AN.GU₂×NUN.PA.EL|,AN.GU2×NUN.PA.EL,an-zib₂,ATTESTED_DIRECT,DIRI,,/dimer/-gu2×nun-addirx(pa)-el
|AN.GU₂×NUN|,AN.GU2×NUN,usanₓ,ATTESTED_DIRECT,OSL,,/dimer/-gu2×nun
|AN.GU₂×PAP|,AN.GU2×PAP,usanₓ,ATTESTED_DIRECT,OSL,,
|AN.HI×GAD|,AN.HI×GAD,kešₓ,ATTESTED_DIRECT,OSL,,/dimer/-hi×gad
|AN.HUL₂|,AN.HUL2,,NO_ATTESTED_READING,,,/dimer/-bibra
|AN.IM|,AN.IM,kutraₓ|qutraₓ,ATTESTED_DIRECT,OSL,,/dimer/-adad
|AN.ME.NAGA|,AN.ME.NAGA,kurkuₓ,ATTESTED_DIRECT,OSL,,/dimer/-ba13-ereš2
|AN.ME.U.U.U|,AN.ME.U.U.U,ili₇,ATTESTED_DIRECT,OSL,,/dimer/-eš17
|AN.MI.HU|,AN.MI.HU,,NO_ATTESTED_READING,,,/dimer/-dugud2-'u5
|AN.MI|,AN.MI,,NO_ATTESTED_READING,,,/dimer/-dugud2
|AN.MUŠ|,AN.MUŠ,kunigara₂,ATTESTED_DIRECT,OSL,,/dimer/-imdudu
|AN.MUŠ₃.AB@g|,AN.MUŠ3.AB@g,zabalaₓ,ATTESTED_DIRECT,OSL,,/dimer/-ennin-ab4
|AN.NA|,AN.NA,an-na|nagga|nanga₅?|niggi|niggin,ATTESTED_DIRECT,OSL,,/dimer/-aniku
|AN.NI₂.MI|,AN.NI2.MI,,NO_ATTESTED_READING,,,/dimer/-me10-dugud2
|AN.SAG@g|,AN.SAG@g,ṣil₃|%akk ṣillu,ATTESTED_DIRECT,OSL,,/dimer/-dilx(sag@g)
|AN.SAL.TUG₂.IB|,AN.SAL.TUG2.IB,ligidbaₓ|urzababitumₓ,ATTESTED_DIRECT,OSL,,/dimer/-nin-arkabx(ib)
|AN.TU|,AN.TU,kunigara₃,ATTESTED_DIRECT,OSL,,/dimer/-du2
|AN.UD.AN.UD|,AN.UD.AN.UD,,NO_ATTESTED_READING,,,/dimer/-a12-/dimer/-a12
|AN.U|,AN.U,enₓ,ATTESTED_DIRECT,OSL,,/dimer/-1u
|AN.ZAG|,AN.ZAG,uzugₓ,ATTESTED_DIRECT,OSL,,/dimer/-bute
|AN.ŠE.NAGA.GAL|,AN.ŠE.NAGA.GAL,nanibgalₓ,ATTESTED_DIRECT,OSL,,/dimer/-ašnan2-ereš2-gal
|AN.ŠEŠ.KI|,AN.ŠEŠ.KI,nanna₂,ATTESTED_DIRECT,OSL,,/dimer/-ah2-ammax(ki)
